"작성자","분류","No","문제 상황","원인","해결 방법","결과","회고"
"김기호","모델링/피처 엔지니어링","1","피처 경량화를 적용한 v05_3 XGBoost가 전체 45개 피처를 사용한 v05_2보다 Macro F1과 Precision이 낮게 나타남","클래스별 평균 차이와 개별 피처의 정적 맥락만으로 제거 여부를 판단해 트리 모델이 활용하는 다변량·비선형 피처 상호작용 정보가 손실됨","경량화 피처를 복원하고 동일한 시간 분할과 평가 조건에서 후보를 다시 비교해 v05_2 XGBoost를 ML 비교 모델로 유지","Core45 기반 v05_2 XGBoost를 최종 ML 비교 모델로 확정하고 서비스 최종 모델과는 별도로 Trust Center 비교 기준에 반영","최신 버전이나 적은 피처가 항상 우수한 것은 아니므로 피처 제거는 통제 실험과 실제 검증 성과를 기준으로 결정해야 함"
"김동섭","딥러닝/피처 실험","1","Core43에 카테고리·공간·평점 피처를 추가해 81개 원본 피처로 확장했지만 주요 성능이 기존 모델보다 하락함","추가 피처 일부가 기존 정보와 중복되거나 노이즈로 작용해 약화 리뷰어 구분 성능과 전체 위험 순위 품질을 낮춤","코호트·시간 분할·학습 조건을 고정한 채 Core43 MLP와 확장 피처 MLP를 비교하고 최근 24개월 활동 시퀀스를 학습하는 GRU 결합 모델까지 실험","월별 활동 흐름을 반영한 모델이 Test Macro F1 0.5681, Macro PR-AUC 0.5951, Top 20% Precision 88.37%, Lift 1.46배를 기록","피처 개수보다 기존 정보와 다른 신호를 제공하는지가 중요하며 일괄 확장보다 Ablation으로 기여도를 검증해야 함"
"김동섭","딥러닝/모델 검증","2","Ablation 후보의 OOF Macro F1이 기준 모델보다 0.0002 높아 실제 개선인지 학습 변동인지 판단하기 어려움","신경망 초기값과 표본 변동으로 생길 수 있는 미세한 차이였고 중단 Recall과 Precision@1000은 오히려 하락함","선정 연도 순서를 지키는 expanding-time 5-Fold OOF, Fold별 3개 시드 반복, 동일 사용자 기준 paired bootstrap을 적용하고 클래스별 Recall·PR-AUC·중증 오분류·Precision@1000을 함께 비교","F1 변화의 95% 신뢰구간이 0을 포함하고 운영 지표도 개선되지 않아 신규 후보를 채택하지 않고 v05_05_dl을 유지","가장 높은 단일 수치보다 성능 차이의 반복 가능성과 운영 목적에 대한 유효성을 함께 검증해야 함"
"이홍규","데이터/코호트 설정","1","코호트 연도와 기준값이 코드에 하드코딩되어 설정 변경 시 여러 코드와 화면을 함께 수정해야 했음","비교·선정·검증 연도와 코호트 조건이 분석 코드와 UI에 분산되어 재현성과 버전 간 정합성을 해칠 수 있었음","코호트와 시간 분할 기준을 configs/analysis_config_v04.yaml에 모으고 파이프라인·모델·화면이 설정값과 산출물 메타데이터를 읽도록 정리","v04 코호트 정의와 연도 구조를 단일 설정 기준으로 관리하고 변경 시 영향을 추적할 수 있는 기반을 마련","분석 기준은 코드 곳곳의 상수보다 버전 관리되는 설정과 데이터 계약으로 관리해야 함"
"이홍규","프론트엔드/데이터 연동","2","초기 React 화면이 mock 데이터를 사용해 Streamlit의 실제 분석 결과와 모델 버전·표본 수·연도·위험 상태가 일치하지 않음","프런트엔드와 분석 앱이 서로 다른 데이터 및 파생 로직을 사용했고 화면별 데이터 계약이 정리되지 않았음","Streamlit의 분석 로직을 재사용하는 export 경로를 만들고 6개 React 화면을 실제 v04 산출물에 연결한 뒤 페이지 단위로 대조","mock 데이터를 제거하고 모델 결과·Trust Center 지표·리뷰어 상세 정보를 실제 데이터로 표시하는 운영 화면으로 전환","분석 결과를 서비스로 옮길 때는 화면 모양보다 데이터 출처와 필드 계약을 먼저 맞춰야 함"
"이홍규","데이터 검증","3","월별 활동 타임라인의 리뷰 수가 모델 프로필의 활동량보다 작게 집계되며 전체 6,533명 중 63.1%에서 부족분이 발생함","타임라인은 restaurant_reviews.parquet만 사용했지만 코호트 생성은 additional_culinary_reviews.parquet까지 UNION ALL하여 리뷰 수를 계산함","두 리뷰 원천을 동일하게 결합하고 표본별 월간 합계가 프로필의 baseline_review_count와 recent_review_count 합계에 전원 일치해야 산출물을 저장하도록 검증","월별 타임라인과 모델 프로필의 리뷰 수 기준을 통일하고 활동량 과소 집계를 해소","같은 지표명이라도 원천 파일과 집계 범위가 동일한지 데이터 계약과 전수 검증으로 확인해야 함"
"이홍규","지표 검증/운영 UX","4","지역별 리뷰 공급 변화율이 모든 권역에서 증가로 나타나 실제 지역 성장 신호처럼 보임","최근 구간에는 핵심 리뷰어 선정을 위한 최소 리뷰 수 하한이 있지만 비교 구간에는 같은 하한이 없어 코호트 구조 자체가 증가 방향의 아티팩트를 만듦","원천 집계와 코호트 조건을 역추적해 구조적 왜곡임을 확인하고 해당 지표를 운영 화면에서 제거","근거가 불충분한 지역 성장 해석과 잘못된 운영 판단을 방지","시각적으로 자연스러운 지표라도 코호트 선정 조건이 만든 현상인지 먼저 검증해야 함"
"이홍규","아키텍처/공용 로직","5","위험 유형·근거 신호·전략 추천·프로필 정규화 로직이 Streamlit·API·export에 중복되어 결과가 달라질 위험이 있었음","분석 앱에서 시작한 도메인 로직을 각 실행 경로가 별도로 재구현하면서 단일 기준 구현이 없었음","기준 구현을 shared/retention으로 분리해 Streamlit·FastAPI·export가 함께 참조하도록 하고 기존 Streamlit import는 호환 wrapper로 보존","React 6개 화면을 FastAPI·MySQL 조회로 전환하면서도 분석 앱과 정적 정합성 산출물의 판단 기준을 통일","UI 프레임워크가 아니라 공통 도메인 로직을 source of truth로 두어야 여러 서비스의 결과가 일관됨"
"이홍규","Git/협업","6","로컬 v05 화면 개편과 원격 컨텍스트 훅 분리가 같은 파일을 동시에 수정해 일반 충돌뿐 아니라 Git이 감지하지 못한 오래된 import가 남음","두 브랜치가 같은 기준점에서 갈라져 동일 파일을 다른 목적으로 수정했고 새로 생성된 파일은 원격 리팩터링 대상에 포함되지 않아 자동 충돌 표시가 발생하지 않음","변경 파일 교집합을 확인하고 로컬 작업을 선별 커밋한 뒤 git merge --no-commit으로 시뮬레이션했으며 이전 import 경로를 전수 검색해 숨은 충돌 2건을 수정","ESLint 오류 0건, 프로덕션 빌드 성공, API 라우트와 5개 화면 확인, 브라우저 콘솔 오류 0건으로 병합 완료","리팩터링 병합에서는 Git의 충돌 표시만 믿지 말고 이전 경로·이름을 전수 검색하고 정적 검사와 런타임 검증을 함께 해야 함"
"최인영","배포/API 연결","1","AWS 배포 후 React에서 Failed to fetch가 발생해 분석 API 데이터를 불러오지 못함","React만 실행되거나 API 주소가 로컬 주소로 남아 있었고 외부 요청을 FastAPI로 전달할 공개 경로가 맞지 않았음","FastAPI 실행 상태와 API URL을 확인하고 React가 상대 경로 /api를 사용하도록 바꾼 뒤 Nginx가 해당 요청을 FastAPI로 프록시하도록 구성","React API 호출 경로를 AWS 공개 구조에 맞추고 Nginx를 통한 서비스 연결 기준을 확립","로컬과 배포 환경의 주소 차이를 코드 하드코딩으로 처리하지 말고 리버스 프록시와 상대 경로 계약으로 관리해야 함"
